Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Paya Lebar,2024,2,1,0,0,0,0,    28.7,    33.1,    26.0,    11.2,    35.2
Paya Lebar,2024,2,2,0,0,0,0,    28.8,    33.5,    25.9,    10.0,    35.2
Paya Lebar,2024,2,3,0,0,0,0,    29.0,    34.6,    26.0,    10.3,    29.6
Paya Lebar,2024,2,4,0,0,0,0,    29.1,    34.0,    25.1,     8.6,    25.9
Paya Lebar,2024,2,5,0,0,0,0,    29.0,    34.4,    25.5,    11.0,    37.0
Paya Lebar,2024,2,6,42.4,35.2,40.4,42.4,    28.5,    34.4,    24.2,     7.9,    29.6
Paya Lebar,2024,2,7,0,0,0,0,    28.8,    34.3,    25.9,     9.3,    33.3
Paya Lebar,2024,2,8,0.2,0.2,0.2,0.2,    28.9,    33.9,    25.9,     9.2,    25.9
Paya Lebar,2024,2,9,21.6,11,14.6,20.8,    27.8,    33.6,    25.7,     8.3,    29.6
Paya Lebar,2024,2,10,11.6,4.4,6.6,10.2,    28.1,    33.2,    24.8,    10.6,    33.3
Paya Lebar,2024,2,11,8.8,6.2,7.8,8.8,    28.3,    33.5,    24.7,    11.1,    40.7
Paya Lebar,2024,2,12,5.2,1.8,1.8,8.6,    26.7,    29.7,    25.2,     9.1,    40.7
Paya Lebar,2024,2,13,21.8,17.4,17.8,18.8,    27.1,    30.2,    24.3,    10.0,    53.7
Paya Lebar,2024,2,14,1.6,1.2,1.2,1.2,    28.2,    32.8,    25.4,    10.9,    42.6
Paya Lebar,2024,2,15,13.8,12,12.4,12.4,    27.3,    30.9,    25.1,     8.7,    37.0
Paya Lebar,2024,2,16,0.2,0.2,0.2,0.2,    28.3,    32.6,    26.2,    11.0,    40.7
Paya Lebar,2024,2,17,0,0,0,0,    28.5,    33.1,    25.7,    11.1,    40.7
Paya Lebar,2024,2,18,0,0,0,0,    29.0,    34.1,    25.8,    10.5,    35.2
Paya Lebar,2024,2,19,0,0,0,0,    29.4,    34.3,    26.3,    12.1,    37.0
Paya Lebar,2024,2,20,0,0,0,0,    29.4,    34.1,    26.4,    10.9,    29.6
Paya Lebar,2024,2,21,0.6,0.6,0.6,0.6,    28.7,    34.1,    26.5,     8.6,    24.1
Paya Lebar,2024,2,22,0,0,0,0,    28.8,    33.2,    25.6,     8.2,    29.6
Paya Lebar,2024,2,23,0,0,0,0,    29.0,    33.4,    26.2,    10.9,    33.3
Paya Lebar,2024,2,24,0,0,0,0,    28.8,    32.8,    26.2,    10.2,    33.3
Paya Lebar,2024,2,25,0,0,0,0,    29.4,    34.5,    25.8,    10.4,    37.0
Paya Lebar,2024,2,26,0,0,0,0,    29.3,    34.4,    26.3,    13.0,    37.0
Paya Lebar,2024,2,27,0.4,0.4,0.4,0.4,    28.5,    30.7,    26.8,     9.6,    35.2
Paya Lebar,2024,2,28,0,0,0,0,    29.3,    33.5,    26.5,    11.6,    37.0
Paya Lebar,2024,2,29,0,0,0,0,    29.8,    34.9,    26.4,    11.6,    38.9
Macritchie Reservoir,2024,2,1,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,2,15.4,11.6,15.4,15.4,-,-,-,-,-
Macritchie Reservoir,2024,2,3,3,2.6,2.8,2.8,-,-,-,-,-
Macritchie Reservoir,2024,2,4,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,5,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,6,0.8,0.6,0.6,0.8,-,-,-,-,-
Macritchie Reservoir,2024,2,7,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,8,5.2,4.8,5,5.2,-,-,-,-,-
Macritchie Reservoir,2024,2,9,35.6,18,29,35.4,-,-,-,-,-
Macritchie Reservoir,2024,2,10,23.4,20.4,22.6,23,-,-,-,-,-
Macritchie Reservoir,2024,2,11,1.8,1.4,1.4,23,-,-,-,-,-
Macritchie Reservoir,2024,2,12,4,3,3.2,3.8,-,-,-,-,-
Macritchie Reservoir,2024,2,13,7.6,4.8,5,5.2,-,-,-,-,-
Macritchie Reservoir,2024,2,14,2.6,1.8,1.8,1.8,-,-,-,-,-
Macritchie Reservoir,2024,2,15,7.4,5.4,6.2,6.6,-,-,-,-,-
Macritchie Reservoir,2024,2,16,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,17,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,18,0,0,0,0,-,-,-,-,-
Macritchie Reservoir,2024,2,19,0,0,0,0,-,-,-,-,-
